,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
102,port blair,100,CD,1575858944,86,-7.04,29.76,71.8,14.7
103,lompoc,20,US,1575858675,93,34.64,-120.46,54.0,5.84
104,new norfolk,75,LR,1575858906,94,6.65,-10.59,77.0,1.41
105,cidreira,13,BR,1575858944,86,-30.17,-50.22,71.42,16.26
106,longyearbyen,20,NO,1575858944,60,78.22,15.63,8.6,9.17
107,kununurra,0,AU,1575858944,29,-15.77,128.74,100.4,11.41
108,clyde river,67,NZ,1575858944,39,-45.19,169.32,57.99,5.01
109,visnes,100,NO,1575858945,75,59.36,5.22,44.6,26.4
110,cherskiy,100,RU,1575858784,99,68.75,161.3,-23.42,1.57
111,faanui,77,PF,1575858945,73,-16.48,-151.75,82.09,10.4
112,kruisfontein,56,ZA,1575858945,89,-34.0,24.73,54.97,5.99
113,vega de alatorre,0,PH,1575858945,59,15.65,121.13,81.32,1.01
114,dunedin,80,NZ,1575858945,70,-45.87,170.5,55.0,11.99
115,port elizabeth,100,CD,1575858943,86,-7.04,29.76,71.8,14.7
116,kapit,100,MY,1575858946,79,2.02,112.94,80.29,0.76
117,fort saint james,1,IN,1575858946,79,17.96,79.61,70.59,2.91
118,dingle,100,PH,1575858946,83,11.0,122.67,80.28,15.97
119,tecoanapa,5,MX,1575858946,83,16.99,-99.26,78.8,2.17
120,east london,79,UG,1575858946,61,3.43,31.7,74.3,0.83
121,kysyl-syr,66,RU,1575858946,95,63.9,122.77,-35.32,7.52
122,luena,100,AO,1575858947,96,-11.78,19.91,63.21,5.06
123,noyabrsk,100,RU,1575858723,94,63.2,75.45,21.79,23.31
124,samarai,99,PG,1575858947,64,-10.62,150.67,86.09,3.24
125,soyo,100,AO,1575858947,86,-6.13,12.37,76.03,5.28
126,puerto del rosario,40,AR,1575858947,76,-51.62,-69.23,53.6,5.82
127,beloha,59,MG,1575858947,88,-25.17,45.06,72.57,8.28
128,birobidzhan,62,RU,1575858947,63,48.79,132.93,0.28,2.24
129,qaanaaq,0,GL,1575858947,56,77.48,-69.36,-6.52,7.07
130,mandera,46,ET,1575858947,30,3.94,41.86,68.0,8.77
131,deputatskiy,100,RU,1575858947,86,69.3,139.9,-14.78,1.01
132,hobyo,9,SO,1575858948,86,5.35,48.53,77.32,6.33
133,sobolevo,100,RU,1575858948,92,54.43,31.9,35.73,15.99
134,kodiak,90,US,1575858948,81,39.95,-94.76,46.99,5.08
135,itarema,0,BR,1575858948,79,-2.92,-39.92,77.97,6.4
136,folldal,62,NO,1575858948,86,62.14,10.0,13.96,4.92
137,ixtapa,5,MX,1575858948,83,20.71,-105.21,78.8,3.65
138,hamilton,90,CA,1575858949,75,43.26,-79.87,48.99,16.11
139,paamiut,100,GL,1575858949,49,61.99,-49.67,30.81,13.02
140,airai,0,TL,1575858949,29,-8.93,125.41,88.23,7.81
141,noumea,20,NC,1575858949,49,-22.28,166.46,91.4,16.11
142,emden,75,DE,1575858949,87,53.37,7.21,43.0,16.11
143,grand river south east,75,FR,1575858949,87,48.39,5.49,46.4,19.46
144,ahipara,0,NZ,1575858949,71,-35.17,173.16,73.0,1.99
145,mansa,20,IN,1575858949,72,23.43,72.66,60.8,5.82
146,torbay,90,CA,1575858950,73,47.66,-52.73,27.0,14.99
147,dukat,0,AL,1575858950,92,40.25,19.57,54.0,7.76
148,coquimbo,0,CL,1575858950,82,-29.95,-71.34,57.2,5.82
149,rubizhne,89,UA,1575858950,93,49.02,38.37,35.04,4.56
150,jaisalmer,0,IN,1575858860,47,26.91,70.91,62.53,5.82
151,namatanai,33,PG,1575858951,66,-3.66,152.44,85.35,6.62
152,mingyue,69,CN,1575858951,63,43.11,128.91,28.87,2.95
153,klaksvik,77,FO,1575858951,59,62.23,-6.59,37.4,32.21
154,kasongo-lunda,95,CD,1575858951,99,-6.48,16.82,66.7,2.62
155,north bend,0,NG,1575858951,88,4.97,7.66,75.58,2.84
156,yar-sale,100,RU,1575858785,94,66.83,70.83,17.38,18.12
157,faya,20,SA,1575858951,93,18.39,42.45,55.4,2.35
158,ondjiva,1,AO,1575858952,53,-17.07,15.73,65.5,5.57
159,castro,40,CL,1575858952,87,-42.48,-73.76,53.6,5.82
160,kavaratti,99,IN,1575858952,77,10.57,72.64,82.49,11.95
161,kommunisticheskiy,67,RU,1575858952,89,61.68,64.48,26.98,11.39
162,san luis,62,ML,1575858939,12,13.3,-4.9,69.55,7.45
163,kozhevnikovo,100,RU,1575858952,95,56.26,83.98,30.99,5.5
164,severo-kurilsk,93,RU,1575858953,72,50.68,156.12,25.38,23.6
165,nanortalik,100,GL,1575858953,61,60.14,-45.24,32.22,3.65
166,norman wells,1,US,1575858953,67,35.22,-97.44,59.0,11.41
167,caohai,92,CN,1575858953,75,26.87,104.28,40.69,4.34
168,port washington,100,CD,1575858944,86,-7.04,29.76,71.8,14.7
169,belmonte,97,PT,1575858953,24,40.36,-7.35,52.0,5.01
170,lorengau,39,PG,1575858954,64,-2.02,147.27,85.42,6.71
171,petropavlovsk-kamchatskiy,86,RU,1575858954,56,53.05,158.65,14.0,6.71
172,palana,9,RU,1575858954,77,59.08,159.95,3.0,7.4
173,tezu,0,IN,1575858954,38,27.93,96.16,64.58,2.57
174,lensk,93,RU,1575858954,96,60.71,114.91,9.79,4.21
175,carnarvon,91,ZA,1575858954,74,-30.97,22.13,55.0,15.26
176,atar,39,MR,1575858954,33,20.52,-13.05,62.92,11.68
177,lethem,9,GY,1575858954,63,3.38,-59.8,81.37,4.99
178,hualahuises,0,MX,1575858954,78,24.88,-99.67,67.91,11.52
179,sao joao da barra,0,IN,1575858955,62,20.51,76.21,68.85,7.23
180,leningradskiy,100,RU,1575858955,95,69.38,178.42,7.72,18.1
181,makakilo city,40,US,1575858955,61,21.35,-158.09,80.6,10.29
182,zalesovo,100,RU,1575858956,96,54.0,84.74,22.12,5.88
183,sandnessjoen,75,NO,1575858956,92,66.02,12.63,32.0,2.24
184,chuy,100,UY,1575858956,65,-33.69,-53.46,67.33,3.67
185,bambous virieux,20,MU,1575858956,94,-20.26,57.41,80.01,5.82
186,huarmey,100,PE,1575858956,81,-10.07,-78.15,66.58,2.04
187,caravelas,98,BR,1575858956,98,-17.73,-39.27,72.41,2.39
188,esperance,0,AU,1575858956,43,-33.86,121.89,69.8,9.17
189,lata,100,IN,1575858956,27,30.78,78.62,29.26,1.66
190,qostanay,50,KZ,1575858956,92,53.17,63.58,14.0,4.47
191,oksfjord,48,NO,1575858957,92,70.24,22.35,24.8,10.29
192,kaitangata,59,NZ,1575858957,52,-46.28,169.85,59.0,7.0
193,plettenberg bay,78,DE,1575858957,75,51.21,7.87,46.99,20.8
194,sur,0,OM,1575858957,79,22.57,59.53,71.73,0.87
195,kralendijk,63,BQ,1575858957,78,12.15,-68.27,80.6,10.29
196,katsuura,20,JP,1575858958,62,33.93,134.5,51.8,3.36
197,thompson,20,CA,1575858958,74,55.74,-97.86,-22.0,3.36
198,palmer,93,AU,1575858958,77,-34.85,139.16,79.0,19.46
199,anadyr,20,RU,1575858958,86,64.73,177.51,28.4,24.61
200,pevek,100,RU,1575858958,93,69.7,170.27,1.96,14.99
201,rathkeale,75,IE,1575858958,70,52.52,-8.94,48.2,33.33
202,comodoro rivadavia,100,BR,1575858958,95,-13.66,-59.79,70.79,1.86
203,bismarck,90,US,1575858903,84,46.81,-100.78,3.2,11.41
204,havre-saint-pierre,90,CA,1575858958,92,50.23,-63.6,24.8,13.87
205,nara,20,JP,1575858959,61,34.68,135.8,54.0,1.12
206,vila franca do campo,75,IT,1575858959,93,45.18,8.4,44.01,2.24
207,salinas,90,US,1575858959,87,36.67,-121.66,55.99,5.82
208,cabo san lucas,100,ES,1575858959,57,43.18,-5.8,50.0,10.29
209,zabol,0,IR,1575858959,75,31.03,61.49,42.8,6.93
210,ust-maya,2,RU,1575858959,95,60.42,134.54,-32.13,1.41
211,cairns,40,AU,1575858959,40,-16.92,145.77,91.99,16.11
212,pochutla,5,MX,1575858960,78,15.74,-96.47,80.6,10.31
213,arraial do cabo,95,BR,1575858960,64,-22.84,-46.65,73.99,12.75
214,carora,3,VE,1575858960,90,10.17,-70.08,66.94,3.0
215,san quintin,62,ML,1575858960,12,13.3,-4.9,69.55,7.45
216,port hardy,100,CD,1575858943,86,-7.04,29.76,71.8,14.7
217,caxito,33,BR,1575858960,85,-22.65,-42.51,60.69,4.25
218,labuhan,64,ID,1575858960,61,-2.54,115.51,87.82,3.06
219,isangel,75,VU,1575858961,78,-19.55,169.27,82.4,11.41
220,westport,75,US,1575858890,75,41.14,-73.36,45.0,8.05
221,japura,75,ID,1575858961,63,-0.42,102.29,86.95,1.7
222,puerto escondido,40,AR,1575858942,76,-51.62,-69.23,53.6,5.82
223,manica,93,MZ,1575858961,92,-18.94,32.88,69.85,3.42
224,tiquicheo,0,MX,1575858961,67,18.9,-100.74,67.57,3.22
225,east wenatchee bench,79,UG,1575858961,61,3.43,31.7,74.3,0.83
226,tura,97,RU,1575858961,99,64.27,100.22,-7.47,2.86
227,china,0,MX,1575858961,79,25.71,-99.24,71.62,11.83
228,nouadhibou,93,MR,1575858962,67,20.93,-17.03,62.6,20.8
229,richards bay,90,US,1575858962,85,46.84,-95.91,21.2,11.41
230,hajnowka,100,PL,1575858962,84,52.74,23.58,43.0,1.99
231,voi,88,KE,1575858962,92,-3.4,38.57,69.98,5.35
232,roald,100,NO,1575858962,93,62.58,6.12,36.0,17.22
233,kibiti,100,TZ,1575858962,96,-7.72,38.94,72.84,2.06
234,qasigiannguit,87,GL,1575858962,45,68.82,-51.19,1.4,2.24
235,ibotirama,86,BR,1575858963,80,-12.18,-43.22,72.25,4.74
236,baruun-urt,59,MN,1575858963,76,46.68,113.28,14.36,8.32
237,martapura,75,ID,1575858963,79,-3.41,114.85,84.2,5.82
238,tornio,75,FI,1575858963,87,61.12,27.27,42.8,17.22
239,challans,88,FR,1575858964,81,46.85,-1.88,50.0,18.34
240,tessalit,100,ML,1575858964,14,20.2,1.01,67.46,8.52
241,lebu,97,ET,1575858965,92,8.96,38.73,53.46,2.04
242,sindang,18,ID,1575858965,65,-6.83,108.32,82.65,5.35
243,cueramaro,5,MX,1575858965,47,20.62,-101.72,59.0,3.67
244,taltal,12,CL,1575858965,88,-25.41,-70.49,55.36,0.72
245,yerbogachen,63,RU,1575858965,98,61.28,108.01,-0.89,0.76
246,xiongyue,100,CN,1575858965,75,40.18,122.12,41.58,6.91
247,adrar,0,DZ,1575858965,49,27.87,-0.29,48.2,12.75
248,sokoni,100,CD,1575858966,98,-12.89,28.78,63.64,5.44
249,smidovich,51,RU,1575858966,73,48.6,133.81,-2.16,2.42
250,konevo,0,BG,1575858966,82,41.67,25.61,36.61,2.66
251,goderich,100,CA,1575858966,89,43.74,-81.71,45.0,11.99
252,cao bang,62,ES,1575858966,57,43.14,-5.7,50.0,10.29
253,ponta do sol,92,BR,1575858966,98,-0.53,-65.05,72.48,2.24
254,sanghar,85,IN,1575858966,29,29.48,73.93,60.4,1.61
255,ismailia,87,EG,1575858957,89,30.6,32.27,56.86,7.92
256,kamenka,100,MD,1575858967,89,48.03,28.7,32.0,5.12
257,abu samrah,20,JP,1575858967,58,34.51,131.49,53.6,11.41
258,gao,100,ML,1575858967,12,16.28,-0.04,69.94,9.75
259,caraballeda,20,VE,1575858967,83,10.61,-66.85,78.8,1.79
260,dzaoudzi,100,YT,1575858967,88,-12.79,45.27,82.4,20.8
261,safita,75,SY,1575858967,87,34.82,36.12,51.8,4.7
262,makubetsu,20,JP,1575858967,49,42.84,143.34,23.0,4.7
263,lebanon,1,US,1575858969,80,40.34,-76.42,39.0,3.36
264,geraldton,75,CA,1575858969,70,49.72,-86.95,-5.8,5.82
265,aripuana,92,BR,1575858969,82,-9.17,-60.63,76.19,1.43
266,predivinsk,0,RU,1575858969,95,57.07,93.44,3.4,3.69
267,narsaq,60,GL,1575858970,24,60.91,-46.05,35.6,21.92
268,san ramon,62,ML,1575858970,12,13.3,-4.9,69.55,7.45
269,arlit,0,NE,1575858970,14,18.74,7.39,71.13,10.13
270,marawi,56,PH,1575858970,81,8.0,124.29,82.99,5.01
271,rajshahi,0,BD,1575858970,52,24.37,88.59,70.27,4.97
272,touros,40,BR,1575858971,74,-5.2,-35.46,80.6,11.41
273,beringovskiy,100,RU,1575858971,98,63.05,179.32,4.26,11.92
274,zlynka,100,RU,1575858972,86,52.43,31.74,37.4,11.18
275,mahebourg,20,MU,1575858972,94,-20.41,57.7,80.01,5.82
276,salamiyah,98,SY,1575858972,76,35.01,37.05,49.05,3.6
277,okha,86,RU,1575858972,92,53.59,142.95,1.71,13.42
278,fortuna,90,US,1575858972,93,40.6,-124.16,52.0,2.06
279,marystown,83,CA,1575858972,100,47.17,-55.16,30.0,5.01
280,anjozorobe,20,MG,1575858972,93,-18.4,47.88,64.4,1.12
281,tiznit,0,MA,1575858973,56,29.7,-9.73,54.75,2.59
282,humaita,71,AR,1575858973,72,-24.93,-65.37,69.8,2.59
283,talara,100,PE,1575858973,90,-4.58,-81.27,70.14,13.85
284,salem,90,US,1575858917,87,44.94,-123.03,50.0,1.25
285,panuco,5,MX,1575858973,44,22.88,-102.54,59.0,4.7
286,penugonda,16,IN,1575858974,78,16.65,81.74,77.0,6.93
287,sao filipe,0,IN,1575858974,62,20.51,76.21,68.85,7.23
288,kedrovyy,40,RU,1575858974,67,56.17,91.82,23.0,15.66
289,mackay,75,CA,1575858974,92,53.65,-115.58,15.8,6.93
290,tres lagoas,90,IT,1575858974,100,46.32,11.1,35.01,11.41
291,bendorf,40,DE,1575858974,86,50.42,7.57,46.0,18.34
292,ocos,40,GT,1575858974,100,14.51,-92.19,75.2,4.0
293,saraza,37,PH,1575858974,79,8.74,117.78,82.53,21.36
294,mastung,98,PK,1575858974,50,29.8,66.85,48.72,3.56
295,janauba,37,BR,1575858975,77,-1.63,-45.47,79.21,6.26
296,ilula,69,TZ,1575858975,88,-7.68,36.04,60.55,1.14
297,san juan,62,ML,1575858939,12,13.3,-4.9,69.55,7.45
298,cayenne,68,GF,1575858975,100,4.94,-52.33,73.4,8.05
299,kormilovka,75,RU,1575858975,100,55.0,74.1,23.0,6.71
300,sitka,72,US,1575858975,60,37.17,-99.65,48.07,5.86
301,kamalapuram,0,IN,1575858975,84,14.6,78.67,71.8,3.13
302,moose factory,90,US,1575858975,92,43.66,-110.72,35.6,18.34
303,yebaishou,82,CN,1575858976,35,41.4,119.64,34.63,6.22
304,boende,100,CD,1575858976,82,-0.28,20.88,73.96,1.81
305,avera,90,US,1575858976,54,33.19,-82.53,54.0,3.36
306,chebarkul,0,RU,1575858976,88,54.98,60.37,25.03,7.34
307,podkletnoye,100,RU,1575858977,90,54.66,31.74,36.07,17.45
308,normandin,90,CA,1575858977,68,48.84,-72.53,26.6,20.8
309,balkanabat,1,TM,1575858977,85,39.51,54.36,37.11,2.53
310,harper,1,US,1575858977,72,30.3,-99.24,66.2,19.04
311,hay river,13,AU,1575858977,7,-34.51,144.84,99.54,9.42
312,egvekinot,100,RU,1575858977,93,66.32,-179.17,10.17,17.74
313,belaya gora,100,RU,1575858977,92,51.06,35.71,33.46,10.96
314,pacific grove,90,US,1575858977,100,47.26,-122.25,48.99,3.36
315,turukhansk,98,RU,1575858978,98,65.8,87.96,-22.79,6.29
316,nanticoke,1,US,1575858978,74,41.21,-76.0,39.99,8.05
317,qaqortoq,100,GL,1575858978,24,60.72,-46.03,35.6,21.92
318,parana,83,BR,1575858979,94,-7.52,-72.89,75.2,3.0
319,saint-georges,100,CA,1575858979,58,46.12,-70.67,30.99,5.01
320,atambua,0,ID,1575858979,58,-9.11,124.89,86.52,7.34
321,strezhevoy,90,RU,1575858979,92,60.73,77.6,24.8,8.95
322,almaznyy,75,RU,1575858979,87,48.03,40.04,32.0,2.62
323,kerman,20,IR,1575858979,39,30.29,57.06,46.4,6.93
324,kavieng,100,PG,1575858979,64,-2.57,150.8,85.77,4.74
325,bereznik,100,RU,1575858979,88,62.86,42.71,30.51,7.52
326,lavrentiya,82,RU,1575858979,88,65.58,-170.99,30.36,25.1
327,manjacaze,100,MZ,1575858980,93,-24.71,33.88,72.18,4.74
328,quelimane,4,MZ,1575858980,86,-17.88,36.89,77.05,6.24
329,benghazi,100,LY,1575858980,59,32.12,20.07,63.9,9.48
330,zaraza,35,VE,1575858980,88,9.35,-65.33,74.39,8.81
331,iranshahr,0,IR,1575858980,93,27.21,60.69,57.2,4.7
332,hokitika,0,NZ,1575858980,68,-42.72,170.96,57.0,15.28
333,benjamin constant,100,US,1575858981,48,33.58,-99.79,64.99,8.01
334,padang,24,ID,1575858981,63,-0.92,100.36,80.78,2.98
335,manzanillo,20,MX,1575858862,69,19.05,-104.32,78.8,6.93
336,husavik,100,CA,1575858981,79,50.56,-96.99,-2.0,5.01
337,luanda,20,AO,1575858981,78,-8.83,13.24,77.0,2.24
338,ravar,31,IR,1575858981,52,31.27,56.81,50.83,9.06
339,ilinskiy,75,RU,1575858981,80,55.62,38.12,36.0,8.95
340,champasak,0,LA,1575858982,77,14.89,105.88,60.8,2.24
341,mayumba,88,GA,1575858982,82,-3.44,10.65,80.06,11.86
342,moosomin,100,CA,1575858982,92,50.14,-101.67,-9.67,4.79
343,yulara,1,AU,1575858982,14,-25.24,130.99,96.8,18.34
344,inhambane,99,MZ,1575858982,85,-23.87,35.38,74.75,5.66
345,shenzhen,0,CN,1575858982,24,22.54,114.05,66.2,8.95
346,ullapool,92,GB,1575858982,74,57.9,-5.16,42.01,8.01
347,viedma,37,AR,1575858983,56,-40.81,-62.99,57.29,11.83
348,salalah,75,OM,1575858983,88,17.01,54.1,78.8,9.17
349,sayyan,70,YE,1575858983,83,15.17,44.32,55.81,0.04
350,darhan,100,MN,1575858983,85,49.49,105.92,10.67,1.79
351,yantal,100,RU,1575858983,94,56.85,105.25,21.45,8.79
352,hoquiam,90,US,1575858984,100,46.98,-123.89,48.99,0.45
353,mananjary,83,MG,1575858984,84,-19.16,46.8,66.34,1.32
354,verkhoyansk,67,RU,1575858984,79,67.55,133.39,-29.27,1.77
355,valdez,90,US,1575858984,86,61.13,-146.35,33.8,6.93
356,hualmay,99,PE,1575858984,83,-11.1,-77.61,65.73,2.1
357,solrod,100,DK,1575858985,87,55.54,12.18,43.0,14.99
358,tacna,4,PE,1575858926,77,-18.01,-70.25,68.0,3.36
359,vigia del fuerte,100,PT,1575858985,99,40.51,-8.69,55.99,5.01
360,kattivakkam,40,IN,1575858985,88,13.22,80.32,82.0,14.27
361,yishui,0,CN,1575858985,40,35.78,118.63,48.2,4.09
362,nantucket,20,US,1575858985,70,41.28,-70.1,43.0,17.22
363,san pedro de uraba,62,ML,1575858970,12,13.3,-4.9,69.55,7.45
364,hojai,0,IN,1575858986,80,26.0,92.85,63.72,2.95
365,bhatkal,92,IN,1575858986,57,13.97,74.57,79.79,6.44
366,altus,1,US,1575858829,54,34.64,-99.33,66.2,8.05
367,baixa grande,75,PT,1575858986,93,40.21,-8.43,55.4,4.7
368,barda,100,RU,1575858986,96,56.93,55.59,33.98,17.6
369,reinheim,20,DE,1575858986,75,49.83,8.83,48.0,14.99
370,grand gaube,75,FR,1575858986,87,48.39,5.49,46.4,19.46
371,cap malheureux,100,FR,1575858987,81,49.27,-1.21,50.0,32.21
372,bijie,77,CN,1575858987,76,27.3,105.3,46.2,2.04
373,sawakin,95,SD,1575858987,73,19.1,37.33,71.6,10.29
374,lucapa,93,AO,1575858987,98,-8.42,20.74,63.55,2.53
375,alexandria,57,RO,1575858987,94,43.97,25.33,28.99,3.27
376,rio grande,90,US,1575858987,81,41.11,-90.4,46.99,4.7
377,odessa,1,US,1575858987,39,31.85,-102.37,70.0,17.22
378,biak,28,ID,1575858988,66,-0.91,122.88,83.61,2.95
379,ilulissat,87,GL,1575858988,45,69.22,-51.1,1.4,2.24
380,beatrice,1,US,1575858988,75,40.27,-96.75,41.0,3.13
381,aranos,79,NA,1575858988,43,-24.14,19.11,65.84,20.4
382,altay,97,CN,1575858988,64,47.83,88.13,13.68,3.09
383,broome,76,GB,1575858988,86,52.47,1.45,44.01,9.17
384,santa cruz de tenerife,0,PH,1575858989,57,17.49,120.43,81.55,8.03
385,talnakh,75,RU,1575858989,83,69.49,88.39,-13.0,6.71
386,mahon,75,IE,1575858989,70,51.89,-8.4,46.4,35.57
